seeds,num_tasks,per_jitter,final_e2e_max,letG2023,R,exceed,false_percentage,adjust,inserted
1756823686,3,0,130,115,0.8846153846153846,safe,0.0,False,False
1756823687,3,0,104,102,0.9807692307692307,safe,0.0,False,False
1756823688,3,0,62,51,0.8225806451612904,safe,0.0,False,False
1756823689,3,0,112,106,0.9464285714285714,safe,0.0,False,False
1756823690,3,0,2104,2052,0.9752851711026616,safe,0.0,False,False
1756823691,3,0,404,402,0.995049504950495,safe,0.0,False,False
1756823692,3,0,250,225,0.9,safe,0.0,False,False
1756823693,3,0,52,46,0.8846153846153846,safe,0.0,False,False
1756823694,3,0,13,12,0.9230769230769231,safe,0.0,False,False
1756823695,3,0,400,300,0.75,safe,0.0,False,False
1756823696,3,0,620,510,0.8225806451612904,safe,0.0,False,False
1756823697,3,0,242,221,0.9132231404958677,safe,0.0,False,False
1756823698,3,0,46,43,0.9347826086956522,safe,0.0,False,False
1756823699,3,0,160,140,0.875,safe,0.0,False,False
1756823700,3,0,2102,2051,0.9757373929590866,safe,0.0,False,False
1756823701,3,0,800,602,0.7525,safe,0.0,,False
1756823702,3,0,212,206,0.9716981132075472,safe,0.0,False,False
1756823703,3,0,62,51,0.8225806451612904,safe,0.0,False,False
1756823704,3,0,304,252,0.8289473684210527,safe,0.0,False,False
1756823705,3,0,244,222,0.9098360655737705,safe,0.0,False,False
1756823706,3,0,2022,2011,0.9945598417408507,safe,0.0,False,False
1756823707,3,0,2050,2025,0.9878048780487805,safe,0.0,False,False
1756823708,3,0,124,112,0.9032258064516129,safe,0.0,False,False
1756823709,3,0,144,132,0.9166666666666666,safe,0.0,False,False
1756823710,3,0,8,7,0.875,safe,0.0,,False
1756823711,3,0,114,108,0.9473684210526315,safe,0.0,False,False
1756823712,3,0,80,65,0.8125,safe,0.0,,False
1756823713,3,0,504,452,0.8968253968253969,safe,0.0,False,False
1756823714,3,0,2202,2101,0.9541326067211626,safe,0.0,False,False
1756823715,3,0,2140,2080,0.9719626168224299,safe,0.0,False,False
1756823716,3,0,502,451,0.898406374501992,safe,0.0,False,False
1756823717,3,0,224,212,0.9464285714285714,safe,0.0,False,False
1756823718,3,0,640,520,0.8125,safe,0.0,False,False
1756823719,3,0,26,24,0.9230769230769231,safe,0.0,False,False
1756823720,3,0,440,420,0.9545454545454546,safe,0.0,False,False
1756823721,3,0,244,222,0.9098360655737705,safe,0.0,False,False
1756823722,3,0,2110,2055,0.9739336492890995,safe,0.0,False,False
1756823723,3,0,442,421,0.9524886877828054,safe,0.0,False,False
1756823724,3,0,2402,2201,0.9163197335553706,safe,0.0,False,False
1756823725,3,0,2004,2002,0.999001996007984,safe,0.0,False,False
1756823726,3,0,214,208,0.9719626168224299,safe,0.0,False,False
1756823727,3,0,400,310,0.775,safe,0.0,,False
1756823728,3,0,80,60,0.75,safe,0.0,False,False
1756823729,3,0,800,605,0.75625,safe,0.0,,False
1756823730,3,0,610,505,0.8278688524590164,safe,0.0,False,False
1756823731,3,0,604,502,0.8311258278145696,safe,0.0,False,False
1756823732,3,0,480,440,0.9166666666666666,safe,0.0,False,False
1756823733,3,0,206,203,0.9854368932038835,safe,0.0,False,False
1756823734,3,0,424,412,0.9716981132075472,safe,0.0,False,False
1756823735,3,0,250,225,0.9,safe,0.0,False,False
1756823736,3,0,604,602,0.9966887417218543,safe,0.0,,False
1756823737,3,0,150,135,0.9,safe,0.0,False,False
1756823738,3,0,170,160,0.9411764705882353,safe,0.0,False,False
1756823739,3,0,230,215,0.9347826086956522,safe,0.0,False,False
1756823740,3,0,700,600,0.8571428571428571,safe,0.0,False,False
1756823741,3,0,2044,2022,0.9892367906066536,safe,0.0,False,False
1756823742,3,0,260,230,0.8846153846153846,safe,0.0,False,False
1756823743,3,0,108,104,0.9629629629629629,safe,0.0,False,False
1756823744,3,0,115,110,0.9565217391304348,safe,0.0,False,False
1756823745,3,0,62,51,0.8225806451612904,safe,0.0,False,False
1756823746,3,0,80,62,0.775,safe,0.0,,False
1756823747,3,0,52,46,0.8846153846153846,safe,0.0,False,False
1756823748,3,0,170,160,0.9411764705882353,safe,0.0,,False
1756823749,3,0,310,255,0.8225806451612904,safe,0.0,False,False
1756823750,3,0,32,26,0.8125,safe,0.0,False,False
1756823751,3,0,2140,2080,0.9719626168224299,safe,0.0,False,False
1756823752,3,0,430,415,0.9651162790697675,safe,0.0,False,False
1756823753,3,0,700,550,0.7857142857142857,safe,0.0,False,False
1756823754,3,0,406,403,0.9926108374384236,safe,0.0,False,False
1756823755,3,0,16,14,0.875,safe,0.0,False,False
1756823756,3,0,40,35,0.875,safe,0.0,False,False
1756823757,3,0,2024,2012,0.9940711462450593,safe,0.0,False,False
1756823758,3,0,406,403,0.9926108374384236,safe,0.0,False,False
1756823759,3,0,224,212,0.9464285714285714,safe,0.0,False,False
1756823760,3,0,2420,2210,0.9132231404958677,safe,0.0,False,False
1756823761,3,0,122,111,0.9098360655737705,safe,0.0,False,False
1756823762,3,0,2014,2008,0.997020854021847,safe,0.0,False,False
1756823763,3,0,2050,2025,0.9878048780487805,safe,0.0,False,False
1756823764,3,0,260,230,0.8846153846153846,safe,0.0,False,False
1756823765,3,0,20,16,0.8,safe,0.0,,False
1756823766,3,0,444,422,0.9504504504504504,safe,0.0,False,False
1756823767,3,0,150,135,0.9,safe,0.0,False,False
1756823768,3,0,302,251,0.8311258278145696,safe,0.0,False,False
1756823769,3,0,2240,2120,0.9464285714285714,safe,0.0,False,False
1756823770,3,0,400,310,0.775,safe,0.0,,False
1756823771,3,0,2022,2011,0.9945598417408507,safe,0.0,False,False
1756823772,3,0,122,111,0.9098360655737705,safe,0.0,False,False
1756823773,3,0,112,106,0.9464285714285714,safe,0.0,False,False
1756823774,3,0,224,212,0.9464285714285714,safe,0.0,False,False
1756823775,3,0,400,305,0.7625,safe,0.0,,False
1756823776,3,0,4000,3002,0.7505,safe,0.0,,False
1756823777,3,0,2040,2020,0.9901960784313726,safe,0.0,False,False
1756823778,3,0,222,211,0.9504504504504504,safe,0.0,False,False
1756823779,3,0,460,430,0.9347826086956522,safe,0.0,False,False
1756823780,3,0,2404,2202,0.9159733777038269,safe,0.0,False,False
1756823781,3,0,2044,2022,0.9892367906066536,safe,0.0,False,False
1756823782,3,0,700,600,0.8571428571428571,safe,0.0,False,False
1756823783,3,0,230,215,0.9347826086956522,safe,0.0,False,False
1756823784,3,0,208,204,0.9807692307692307,safe,0.0,False,False
1756823785,3,0,200,152,0.76,safe,0.0,,False
1756823686,5,0,290,232,0.8,safe,0.0,,False
1756823687,5,0,540,520,0.9629629629629629,safe,0.0,,False
1756823688,5,0,2702,2351,0.8700962250185048,safe,0.0,False,False
1756823689,5,0,380,300,0.7894736842105263,safe,0.0,False,False
1756823690,5,0,370,295,0.7972972972972973,safe,0.0,False,False
1756823691,5,0,800,613,0.76625,safe,0.0,,False
1756823692,5,0,2442,2221,0.9095004095004094,safe,0.0,False,False
1756823693,5,0,352,286,0.8125,safe,0.0,False,False
1756823694,5,0,2150,2080,0.9674418604651163,safe,0.0,False,False
1756823695,5,0,2512,2256,0.8980891719745223,safe,0.0,False,False
1756823696,5,0,2160,2080,0.9629629629629629,safe,0.0,False,False
1756823697,5,0,2620,2310,0.8816793893129771,safe,0.0,False,False
1756823698,5,0,3414,3208,0.9396602226127709,safe,0.0,False,False
1756823699,5,0,314,307,0.9777070063694268,safe,0.0,False,False
