seeds,num_tasks,per_jitter,final_e2e_max,letG2023,R,exceed,false_percentage,adjust,inserted
1756822444,3,0,32,26,0.8125,safe,0.0,False,False
1756822445,3,0,18,16,0.8888888888888888,safe,0.0,False,False
1756822446,3,0,320,310,0.96875,safe,0.0,False,False
1756822447,3,0,140,120,0.8571428571428571,safe,0.0,False,False
1756822448,3,0,8,7,0.875,safe,0.0,,False
1756822449,3,0,620,510,0.8225806451612904,safe,0.0,False,False
1756822450,3,0,124,120,0.967741935483871,safe,0.0,False,False
1756822451,3,0,320,310,0.96875,safe,0.0,False,False
1756822452,3,0,2022,2020,0.9990108803165183,safe,0.0,False,False
1756822453,3,0,800,800,1.0,safe,0.0,,False
1756822454,3,0,2014,2007,0.9965243296921549,safe,0.0,False,False
1756822455,3,0,150,135,0.9,safe,0.0,False,False
1756822456,3,0,120,110,0.9166666666666666,safe,0.0,False,False
1756822457,3,0,2014,2010,0.9980139026812314,safe,0.0,False,False
1756822458,3,0,540,500,0.9259259259259259,safe,0.0,False,False
1756822459,3,0,2220,2200,0.990990990990991,safe,0.0,False,False
1756822460,3,0,34,30,0.8823529411764706,safe,0.0,False,False
1756822461,3,0,403,402,0.9975186104218362,safe,0.0,False,False
1756822462,3,0,340,320,0.9411764705882353,safe,0.0,,False
1756822463,3,0,442,440,0.995475113122172,safe,0.0,False,False
1756822464,3,0,208,204,0.9807692307692307,safe,0.0,False,False
1756822465,3,0,64,52,0.8125,safe,0.0,False,False
1756822466,3,0,2080,2040,0.9807692307692307,safe,0.0,False,False
1756822467,3,0,220,210,0.9545454545454546,safe,0.0,False,False
1756822468,3,0,62,51,0.8225806451612904,safe,0.0,False,False
1756822469,3,0,52,46,0.8846153846153846,safe,0.0,False,False
1756822470,3,0,34,32,0.9411764705882353,safe,0.0,False,False
1756822471,3,0,40,35,0.875,safe,0.0,,False
1756822472,3,0,154,152,0.987012987012987,safe,0.0,,False
1756822473,3,0,240,220,0.9166666666666666,safe,0.0,False,False
1756822474,3,0,222,211,0.9504504504504504,safe,0.0,False,False
1756822475,3,0,504,452,0.8968253968253969,safe,0.0,False,False
1756822476,3,0,224,220,0.9821428571428571,safe,0.0,False,False
1756822477,3,0,404,402,0.995049504950495,safe,0.0,False,False
1756822478,3,0,2042,2040,0.9990205680705191,safe,0.0,False,False
1756822479,3,0,212,206,0.9716981132075472,safe,0.0,False,False
1756822480,3,0,700,600,0.8571428571428571,safe,0.0,False,False
1756822481,3,0,2008,2004,0.99800796812749,safe,0.0,False,False
1756822482,3,0,242,221,0.9132231404958677,safe,0.0,False,False
1756822483,3,0,2240,2120,0.9464285714285714,safe,0.0,False,False
1756822484,3,0,450,440,0.9777777777777777,safe,0.0,False,False
1756822485,3,0,222,211,0.9504504504504504,safe,0.0,False,False
1756822486,3,0,2402,2201,0.9163197335553706,safe,0.0,False,False
1756822487,3,0,460,430,0.9347826086956522,safe,0.0,False,False
1756822488,3,0,250,240,0.96,safe,0.0,False,False
1756822489,3,0,46,44,0.9565217391304348,safe,0.0,False,False
